id,core
crd_ccc37a7514f24045ad1e2c6cff286e6f,not_legal
crd_bd9c0c2fd69e467c82c247d1733c0d19,not_legal
crd_0b42ad3a223046c0a3807f04c58a552e,not_legal
crd_59714153da7e4a6884f25a5c5edad2c1,not_legal
crd_0e199ab83f22428784550f317e16fefd,not_legal
crd_4ab60bc408c44708b7f820348cad85c5,not_legal
crd_6c49377313ce45b683987dbd03936467,not_legal
crd_f6c83c36dbe04bdcb19ee7bd9d0479cd,not_legal
crd_3594674864b745f3830c15e72a221bf5,not_legal
crd_b3029d9bf3ee4b7c8bf5cd2403f0b2f5,not_legal
crd_10eefc9e8b2943c0a29f6e19a1c114a0,not_legal
crd_ab3a202cb90a43beac5943ac4baad67a,not_legal
crd_139b6ae1e1c04ea0aef5ef864e8ed14b,not_legal
crd_7f56bbeab3ce4593beb4feea23724b82,not_legal
crd_35df29e6893942a38a14f775719ce522,not_legal
crd_178a79a0d95a433d9a6add9dccca0730,not_legal
crd_4d8747b6f80e4bc5a39ace7edc6df9da,not_legal
crd_513288f8ceec405e9b17fafcb0f5523a,not_legal
crd_2ae2d2f7e846489a802db83587a26fc3,not_legal
crd_dc9cd90360a14c2488e647a1934a17bb,not_legal
crd_25d8f80f68574d38869b7853d737e8e2,not_legal
crd_c1cd26316f4948a382770ffb29440699,not_legal
crd_4dfb12a1e5844317a783074a548bc8c7,not_legal
crd_60630688715e45079236d447087a9a83,not_legal
crd_d5432572fd3d4dfc95b01b682c71943c,not_legal
crd_b8f5f89ae4fa49e29637b1fffd9c9e4c,not_legal
crd_66c2f5fd704b45bdbe79f585ac31d6fc,not_legal
crd_21bfac43fba64c06ab62139f3befd6c1,not_legal
crd_03fecbc6607a4948a586ccf4f0915c79,not_legal
crd_b29e4a26e9324724aab37e97a7738476,not_legal
crd_b1ea1c67fc224e968a4906149590585c,not_legal
crd_865641f3cac34a65a36bb2404f4e39dd,not_legal
crd_37f652aa15934d2b9bd7ad15eb18bbfb,not_legal
crd_ae7e15af9559439ba734caac9aa567e5,not_legal
crd_7a1524eb2f994287ab6de2e677431724,not_legal
crd_c75fe9ce070a454696dd8d42c6931c68,not_legal
crd_98e2f67c2ee14092be9f89b31f20db4e,not_legal
crd_eb10018264004dc59f9bf0f31295d757,not_legal
crd_c343d1fc29f3491f95bb460c90e081a7,not_legal
crd_01d7e6fed9f74da6910769c8b8780f17,legal
crd_49923766da0445deab289bad2cde7662,legal
crd_5526a660684f4be1a1abdbd210e754b2,legal
crd_ea580b2aaa374dff847750dee360b51b,legal
crd_a0a1e1bb99794f04991929ced6001ae8,legal
crd_8de3ae21bca6455bb44da9803af19ea8,legal
crd_e18e96745a00405d8e927f8d4c75dc72,legal
crd_8d986fbd95984691b7fe1a27a5e110bc,legal
crd_b2e4820cbbda4610b54f3e9c00fa4576,not_legal
crd_9093f79568f941ccaf0f4708a1b74133,not_legal
crd_2867c1fd1a954efabc42975882f5be8c,legal
crd_b00e336742ab4743850d9927c06c7c6e,legal
crd_58705a75ce1c4f19aabe741129079750,legal
crd_97f8be5e176144378d58823c6f9c29c7,legal
crd_2ecfea1cd29e41618fda08362f460bdc,legal
crd_82e9ddd673ac49919082b20bcb77abbd,legal
crd_cb48f84437c6466281d05da11bcef9fc,legal
crd_69bb8a1a94dc429c91610c92a7108dbb,legal
crd_3ff14fbe696348d281fb1974bdcd8e5f,legal
crd_0f90f3b193fa44789e5abeb293636e4f,legal
crd_edeffddbafd54b319a0f9bf65a1480b5,legal
crd_885f1f8ac17a447fa3c9f7b668fa8663,legal
crd_a6d0aaef05744b279192132d481af4be,legal
crd_a2bdf443390f4009bed7f162badd841c,legal
crd_748599af9c8e4272b5f2926597a405ba,legal
crd_fbdc035fda194814bd934292d2e78c13,legal
crd_07dfc12012794405ad72a71f1a738c5d,legal
crd_d087e066b0484bf9aed46a182f60f0ff,legal
crd_a1c95bf6c8744ccaa5ff363453aa8716,legal
crd_f478c96f7b1b45b790d74395480da563,legal
crd_02f6ca615a304f47848ac36590cb7b94,legal
crd_f405327bb31a4ca0880e91e09bf5893a,legal
crd_fcdb51245c0a468896166eb745d1cf55,legal
crd_deb260b9c0d5473f9ce8685415520940,legal
crd_2e4b186b853e4bd7b5d3144645efd6a1,legal
crd_136ffadfd42e4f968a125c32a8d18591,legal
crd_e989edbf82194e8e9f4bd73426377d57,legal
crd_56003cfee81148e9a2ceebe4136e4e06,legal
crd_d1f9df5413484ad6975ba55243e4804e,legal
crd_c6998d2082d348b18f01e8a90afde5f1,legal
crd_5364fdf0cf144ac38d2d7c824f8cc72f,legal
crd_54e5e880c70e4e2bb68cc318a7d47e34,legal
crd_46df24a1b90a460d8572440c007f0af5,legal
crd_925579c341974d16b613c348efe8df5e,legal
crd_e46266028977431da15b820d9f665664,legal
crd_b9ecaeeeee5a467ea41b58edda3b8f13,legal
crd_c73b3306eee042a0a17938812b0a564a,legal
crd_ed1ca708595f44a49f40680e20635ff5,legal
crd_df136840866d426db031332e34942735,legal
crd_bda38dbbd3974a5bb53bc91853faa172,legal
crd_96b06169bec644898473633766c5e534,legal
crd_54d0edb01460400e9612bebf555aa2f1,legal
crd_fabf6b8091ab49a1b2dccff0b1bb66ab,legal
crd_c6206520d53f48a7ba4b32af8ca6cf66,legal
crd_a8ac3c9400574fac83d320e3c4bd6e49,legal
crd_021972513f684c6185280e93fa2f41ef,legal
crd_d8f0d093ffa743e48801e90e1b98cf14,legal
crd_bf44f442286c4b5fa783412ae85c3b58,legal
crd_9b1e3b67709f41c58130599854495ff5,legal
crd_5bb1d62852d74227a37ae937c075eef0,legal
crd_308bd5ecd73f4d26af79fb786fab2eea,legal
crd_1613e74208754e64b862c2a8b28add19,legal
crd_fc52c08c7f254d8cb1e54150de516407,legal
crd_177102be31464591b1637a5b9b2b5aca,legal
crd_ffec4fba40d948dc8cd4f54b5f9897a9,legal
crd_7c8f8f0af4fb4d6087a414c04c0fca4c,legal
crd_835c907af9be4b9d93b301eb3324b83e,legal
crd_444d8b9e59e44e919534ccc79bd66d85,legal
crd_a3263d84bb5645f3974b837b717d50f5,legal
